Date : 2026-04-29 09:13:41
Directory : /home/developer/projects/oral-health-policy-pulse
Total : 459 files,  147316 codes, 13037 comments, 26020 blanks, all 186373 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |        187 |     54,994 |          2 |     17,123 |     72,119 |
| JSON               |          8 |     43,558 |          0 |          8 |     43,566 |
| Python             |        134 |     27,733 |     11,690 |      7,001 |     46,424 |
| TypeScript JSX     |         38 |     10,723 |        460 |        771 |     11,954 |
| JavaScript JSX     |         18 |      4,378 |        186 |        205 |      4,769 |
| Shell Script       |         25 |      1,892 |        296 |        419 |      2,607 |
| TypeScript         |          7 |        908 |        178 |         75 |      1,161 |
| HTML               |          6 |        632 |          2 |         84 |        718 |
| MS SQL             |          2 |        589 |         89 |         62 |        740 |
| PostCSS            |          7 |        446 |         32 |         83 |        561 |
| XML                |          8 |        434 |         20 |         23 |        477 |
| YAML               |          6 |        290 |         11 |         57 |        358 |
| JavaScript         |          5 |        256 |          1 |          8 |        265 |
| Makefile           |          1 |        145 |          0 |         25 |        170 |
| Properties         |          2 |        128 |         12 |         24 |        164 |
| pip requirements   |          1 |         67 |         19 |         14 |        100 |
| Ignore             |          1 |         62 |         13 |         13 |         88 |
| Docker             |          1 |         46 |         20 |         20 |         86 |
| JSON with Comments |          2 |         35 |          6 |          5 |         46 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        459 |    147,316 |     13,037 |     26,020 |    186,373 |
| . (Files)                                                                                                            |         33 |      3,845 |        373 |        949 |      5,167 |
| .github                                                                                                              |          3 |        315 |          8 |         82 |        405 |
| .github (Files)                                                                                                      |          1 |        145 |          0 |         46 |        191 |
| .github/workflows                                                                                                    |          2 |        170 |          8 |         36 |        214 |
| .huggingface                                                                                                         |          4 |        236 |         19 |         61 |        316 |
| agents                                                                                                               |         12 |      3,411 |      1,025 |        728 |      5,164 |
| alerts                                                                                                               |          1 |        344 |        146 |         78 |        568 |
| api                                                                                                                  |         18 |      3,663 |      1,243 |        809 |      5,715 |
| api (Files)                                                                                                          |          6 |      1,381 |        364 |        336 |      2,081 |
| api/routes                                                                                                           |          7 |      1,814 |        873 |        429 |      3,116 |
| api/static                                                                                                           |          5 |        468 |          6 |         44 |        518 |
| api/static (Files)                                                                                                   |          3 |        281 |          6 |         40 |        327 |
| api/static/assets                                                                                                    |          2 |        187 |          0 |          4 |        191 |
| config                                                                                                               |          2 |         78 |         23 |         24 |        125 |
| databricks                                                                                                           |          5 |      1,187 |        604 |        220 |      2,011 |
| databricks (Files)                                                                                                   |          4 |      1,135 |        342 |        204 |      1,681 |
| databricks/notebooks                                                                                                 |          1 |         52 |        262 |         16 |        330 |
| discovery                                                                                                            |         30 |      7,076 |      3,348 |      1,859 |     12,283 |
| docs                                                                                                                 |         52 |     13,958 |          0 |      4,649 |     18,607 |
| examples                                                                                                             |         16 |      3,636 |        536 |        981 |      5,153 |
| extraction                                                                                                           |          6 |      1,543 |        791 |        329 |      2,663 |
| frontend                                                                                                             |         76 |     38,290 |        787 |      1,184 |     40,261 |
| frontend (Files)                                                                                                     |         10 |      5,447 |          6 |         55 |      5,508 |
| frontend/policy-dashboards                                                                                           |         25 |     22,111 |        191 |        299 |     22,601 |
| frontend/policy-dashboards (Files)                                                                                   |          3 |     17,667 |          0 |         80 |     17,747 |
| frontend/policy-dashboards/public                                                                                    |          2 |         30 |          5 |          6 |         41 |
| frontend/policy-dashboards/src                                                                                       |         20 |      4,414 |        186 |        213 |      4,813 |
| frontend/policy-dashboards/src (Files)                                                                               |          3 |      1,313 |         30 |         57 |      1,400 |
| frontend/policy-dashboards/src/components                                                                            |         17 |      3,101 |        156 |        156 |      3,413 |
| frontend/policy-dashboards/src/components (Files)                                                                    |         10 |      2,353 |        112 |        112 |      2,577 |
| frontend/policy-dashboards/src/components/shared                                                                     |          7 |        748 |         44 |         44 |        836 |
| frontend/public                                                                                                      |          2 |        257 |          5 |         38 |        300 |
| frontend/src                                                                                                         |         39 |     10,475 |        585 |        792 |     11,852 |
| frontend/src (Files)                                                                                                 |          4 |        152 |          5 |         20 |        177 |
| frontend/src/components                                                                                              |          7 |      1,739 |         75 |        143 |      1,957 |
| frontend/src/contexts                                                                                                |          2 |        175 |         13 |         33 |        221 |
| frontend/src/pages                                                                                                   |         23 |      8,152 |        363 |        549 |      9,064 |
| frontend/src/utils                                                                                                   |          3 |        257 |        129 |         47 |        433 |
| models                                                                                                               |          1 |        220 |         71 |         51 |        342 |
| notebooks                                                                                                            |          2 |        177 |        227 |        116 |        520 |
| pipeline                                                                                                             |          9 |      1,996 |        888 |        486 |      3,370 |
| scripts                                                                                                              |         47 |      7,116 |      2,673 |      1,888 |     11,677 |
| tests                                                                                                                |          1 |         57 |         16 |         24 |         97 |
| visualization                                                                                                        |          2 |        235 |        165 |         37 |        437 |
| website                                                                                                              |        139 |     59,933 |         94 |     11,465 |     71,492 |
| website (Files)                                                                                                      |          8 |     21,704 |         49 |         93 |     21,846 |
| website/blog                                                                                                         |          5 |        307 |          0 |        105 |        412 |
| website/docs                                                                                                         |        113 |     36,597 |          2 |     11,154 |     47,753 |
| website/docs (Files)                                                                                                 |          9 |      1,988 |          0 |        692 |      2,680 |
| website/docs/case-studies                                                                                            |          3 |      1,474 |          0 |        467 |      1,941 |
| website/docs/data-sources                                                                                            |         20 |     10,700 |          0 |      2,664 |     13,364 |
| website/docs/deployment                                                                                              |         16 |      4,100 |          0 |      1,427 |      5,527 |
| website/docs/development                                                                                             |         14 |      3,156 |          0 |      1,007 |      4,163 |
| website/docs/families                                                                                                |          5 |      1,552 |          0 |        420 |      1,972 |
| website/docs/guides                                                                                                  |         27 |      8,339 |          0 |      2,718 |     11,057 |
| website/docs/integrations                                                                                            |         12 |      3,091 |          0 |      1,008 |      4,099 |
| website/docs/legal                                                                                                   |          7 |      2,197 |          2 |        751 |      2,950 |
| website/src                                                                                                          |          8 |        930 |         38 |        105 |      1,073 |
| website/src/components                                                                                               |          4 |        288 |          3 |         34 |        325 |
| website/src/components/HomepageFeatures                                                                              |          2 |         77 |          0 |          7 |         84 |
| website/src/components/ZoomableMermaid                                                                               |          2 |        211 |          3 |         27 |        241 |
| website/src/css                                                                                                      |          1 |        196 |         25 |         37 |        258 |
| website/src/pages                                                                                                    |          3 |        446 |         10 |         34 |        490 |
| website/static                                                                                                       |          5 |        395 |          5 |          8 |        408 |
| website/static/img                                                                                                   |          5 |        395 |          5 |          8 |        408 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
