Date : 2026-05-04 09:12:39
Directory : /home/developer/projects/open-navigator
Total : 626 files,  179567 codes, 21013 comments, 33379 blanks, all 233959 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |        252 |     65,930 |          2 |     20,742 |     86,674 |
| JSON               |         10 |     44,139 |          0 |          8 |     44,147 |
| Python             |        200 |     42,658 |     19,070 |     10,001 |     71,729 |
| TypeScript JSX     |         45 |     14,532 |        711 |      1,068 |     16,311 |
| JavaScript JSX     |         18 |      4,378 |        186 |        205 |      4,769 |
| Shell Script       |         43 |      3,131 |        496 |        689 |      4,316 |
| TypeScript         |          8 |      1,080 |        198 |        102 |      1,380 |
| MS SQL             |          3 |        826 |        178 |        145 |      1,149 |
| HTML               |          9 |        743 |         16 |         98 |        857 |
| XML                |         12 |        634 |         34 |         69 |        737 |
| PostCSS            |          7 |        453 |         33 |         84 |        570 |
| YAML               |          6 |        310 |         11 |         58 |        379 |
| JavaScript         |          5 |        273 |          1 |          8 |        282 |
| Makefile           |          1 |        145 |          0 |         25 |        170 |
| Properties         |          2 |        123 |         17 |         24 |        164 |
| pip requirements   |          1 |         71 |         21 |         15 |        107 |
| Ignore             |          1 |         62 |         13 |         13 |         88 |
| Docker             |          1 |         49 |         21 |         21 |         91 |
| JSON with Comments |          2 |         30 |          5 |          4 |         39 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        626 |    179,567 |     21,013 |     33,379 |    233,959 |
| . (Files)                                                                                                  |         18 |      3,205 |        143 |        786 |      4,134 |
| .github                                                                                                    |          3 |        431 |          8 |        112 |        551 |
| .github (Files)                                                                                            |          1 |        261 |          0 |         76 |        337 |
| .github/workflows                                                                                          |          2 |        170 |          8 |         36 |        214 |
| .huggingface                                                                                               |          4 |        241 |         25 |         62 |        328 |
| agents                                                                                                     |         14 |      3,853 |      1,130 |        797 |      5,780 |
| alerts                                                                                                     |          1 |        344 |        146 |         78 |        568 |
| api                                                                                                        |         28 |      5,893 |      3,590 |      1,093 |     10,576 |
| api (Files)                                                                                                |          7 |      1,712 |        751 |        303 |      2,766 |
| api/routes                                                                                                 |         13 |      3,541 |      2,819 |        716 |      7,076 |
| api/static                                                                                                 |          8 |        640 |         20 |         74 |        734 |
| api/static (Files)                                                                                         |          6 |        436 |         20 |         70 |        526 |
