Date : 2026-04-27 20:45:24
Directory : /home/developer/projects/oral-health-policy-pulse
Total : 411 files,  420569 codes, 10276 comments, 21190 blanks, all 452035 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         30 |    336,621 |          0 |          8 |    336,629 |
| Markdown           |        158 |     44,648 |          0 |     14,050 |     58,698 |
| Python             |        109 |     22,529 |      9,277 |      5,659 |     37,465 |
| TypeScript JSX     |         34 |      7,701 |        311 |        563 |      8,575 |
| JavaScript JSX     |         18 |      4,378 |        186 |        205 |      4,769 |
| Shell Script       |         16 |      1,260 |        188 |        272 |      1,720 |
| TypeScript         |          5 |        728 |        146 |         61 |        935 |
| HTML               |          5 |        538 |          0 |         69 |        607 |
| PostCSS            |          7 |        446 |         32 |         83 |        561 |
| XML                |          8 |        434 |         20 |         23 |        477 |
| MS SQL             |          2 |        298 |         44 |         42 |        384 |
| YAML               |          6 |        289 |         10 |         57 |        356 |
| JavaScript         |          5 |        257 |          1 |          7 |        265 |
| Makefile           |          1 |        145 |          0 |         25 |        170 |
| Properties         |          2 |         94 |          8 |         19 |        121 |
| pip requirements   |          1 |         66 |         19 |         14 |         99 |
| Ignore             |          1 |         62 |         13 |         13 |         88 |
| Docker             |          1 |         40 |         15 |         15 |         70 |
| JSON with Comments |          2 |         35 |          6 |          5 |         46 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        411 |    420,569 |     10,276 |     21,190 |    452,035 |
| . (Files)                                                                                                            |         27 |      2,858 |        258 |        679 |      3,795 |
| .github                                                                                                              |          3 |        303 |          7 |         80 |        390 |
| .github (Files)                                                                                                      |          1 |        134 |          0 |         44 |        178 |
| .github/workflows                                                                                                    |          2 |        169 |          7 |         36 |        212 |
| .huggingface                                                                                                         |          4 |        198 |         10 |         52 |        260 |
| agents                                                                                                               |         12 |      3,411 |      1,025 |        728 |      5,164 |
| alerts                                                                                                               |          1 |        344 |        146 |         78 |        568 |
| api                                                                                                                  |         14 |      2,540 |        465 |        565 |      3,570 |
| api (Files)                                                                                                          |          6 |      1,375 |        364 |        336 |      2,075 |
| api/routes                                                                                                           |          3 |        703 |         96 |        187 |        986 |
| api/static                                                                                                           |          5 |        462 |          5 |         42 |        509 |
| api/static (Files)                                                                                                   |          3 |        274 |          5 |         39 |        318 |
| api/static/assets                                                                                                    |          2 |        188 |          0 |          3 |        191 |
| config                                                                                                               |          2 |         78 |         23 |         24 |        125 |
| databricks                                                                                                           |          5 |        870 |        559 |        190 |      1,619 |
| databricks (Files)                                                                                                   |          4 |        818 |        297 |        174 |      1,289 |
| databricks/notebooks                                                                                                 |          1 |         52 |        262 |         16 |        330 |
| discovery                                                                                                            |         27 |      6,389 |      2,926 |      1,671 |     10,986 |
| docs                                                                                                                 |         51 |     13,706 |          0 |      4,558 |     18,264 |
| examples                                                                                                             |          8 |      1,645 |        385 |        423 |      2,453 |
| extraction                                                                                                           |          6 |      1,543 |        791 |        329 |      2,663 |
| frontend                                                                                                             |         70 |     35,161 |        616 |        965 |     36,742 |
| frontend (Files)                                                                                                     |         10 |      5,431 |          5 |         54 |      5,490 |
| frontend/policy-dashboards                                                                                           |         25 |     22,111 |        191 |        299 |     22,601 |
| frontend/policy-dashboards (Files)                                                                                   |          3 |     17,667 |          0 |         80 |     17,747 |
| frontend/policy-dashboards/public                                                                                    |          2 |         30 |          5 |          6 |         41 |
| frontend/policy-dashboards/src                                                                                       |         20 |      4,414 |        186 |        213 |      4,813 |
| frontend/policy-dashboards/src (Files)                                                                               |          3 |      1,313 |         30 |         57 |      1,400 |
| frontend/policy-dashboards/src/components                                                                            |         17 |      3,101 |        156 |        156 |      3,413 |
| frontend/policy-dashboards/src/components (Files)                                                                    |         10 |      2,353 |        112 |        112 |      2,577 |
| frontend/policy-dashboards/src/components/shared                                                                     |          7 |        748 |         44 |         44 |        836 |
| frontend/public                                                                                                      |          2 |        257 |          5 |         38 |        300 |
| frontend/src                                                                                                         |         33 |      7,362 |        415 |        574 |      8,351 |
| frontend/src (Files)                                                                                                 |          4 |        144 |          5 |         20 |        169 |
| frontend/src/components                                                                                              |          5 |      1,292 |         47 |        103 |      1,442 |
| frontend/src/contexts                                                                                                |          2 |        168 |         10 |         29 |        207 |
| frontend/src/pages                                                                                                   |         21 |      5,597 |        246 |        387 |      6,230 |
| frontend/src/utils                                                                                                   |          1 |        161 |        107 |         35 |        303 |
| models                                                                                                               |          1 |        220 |         71 |         51 |        342 |
| notebooks                                                                                                            |          2 |        177 |        227 |        116 |        520 |
| output                                                                                                               |         22 |    293,064 |          0 |          0 |    293,064 |
| output/tuscaloosa                                                                                                    |         12 |    293,054 |          0 |          0 |    293,054 |
| output/tuscaloosa_city_schools                                                                                       |         10 |         10 |          0 |          0 |         10 |
| pipeline                                                                                                             |          7 |      1,309 |        587 |        315 |      2,211 |
| scripts                                                                                                              |         30 |      4,891 |      1,918 |      1,311 |      8,120 |
| tests                                                                                                                |          1 |         57 |         16 |         24 |         97 |
| visualization                                                                                                        |          2 |        235 |        165 |         37 |        437 |
| website                                                                                                              |        116 |     51,570 |         81 |      8,994 |     60,645 |
| website (Files)                                                                                                      |          8 |     21,628 |         39 |         91 |     21,758 |
| website/blog                                                                                                         |          5 |        307 |          0 |        105 |        412 |
| website/docs                                                                                                         |         90 |     28,315 |          0 |      8,687 |     37,002 |
| website/docs (Files)                                                                                                 |          8 |      1,497 |          0 |        521 |      2,018 |
| website/docs/case-studies                                                                                            |          3 |      1,474 |          0 |        467 |      1,941 |
| website/docs/data-sources                                                                                            |         20 |     10,004 |          0 |      2,550 |     12,554 |
| website/docs/deployment                                                                                              |         14 |      3,592 |          0 |      1,312 |      4,904 |
| website/docs/development                                                                                             |         11 |      2,134 |          0 |        698 |      2,832 |
| website/docs/families                                                                                                |          5 |      1,552 |          0 |        420 |      1,972 |
| website/docs/guides                                                                                                  |         21 |      6,016 |          0 |      2,062 |      8,078 |
| website/docs/integrations                                                                                            |          8 |      2,046 |          0 |        657 |      2,703 |
| website/src                                                                                                          |          8 |        925 |         37 |        103 |      1,065 |
| website/src/components                                                                                               |          4 |        288 |          3 |         34 |        325 |
| website/src/components/HomepageFeatures                                                                              |          2 |         77 |          0 |          7 |         84 |
| website/src/components/ZoomableMermaid                                                                               |          2 |        211 |          3 |         27 |        241 |
| website/src/css                                                                                                      |          1 |        196 |         25 |         37 |        258 |
| website/src/pages                                                                                                    |          3 |        441 |          9 |         32 |        482 |
| website/static                                                                                                       |          5 |        395 |          5 |          8 |        408 |
| website/static/img                                                                                                   |          5 |        395 |          5 |          8 |        408 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                             | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/developer/projects/oral-health-policy-pulse/.dockerignore                                                      | Ignore             |         62 |         13 |         13 |         88 |
| /home/developer/projects/oral-health-policy-pulse/.github/copilot-instructions.md                                    | Markdown           |        134 |          0 |         44 |        178 |
| /home/developer/projects/oral-health-policy-pulse/.github/workflows/ci-build-test.yml                                | YAML               |        118 |          5 |         26 |        149 |
| /home/developer/projects/oral-health-policy-pulse/.github/workflows/deploy-huggingface.yml                           | YAML               |         51 |          2 |         10 |         63 |
| /home/developer/projects/oral-health-policy-pulse/.huggingface/README.md                                             | Markdown           |         93 |          0 |         30 |        123 |
| /home/developer/projects/oral-health-policy-pulse/.huggingface/nginx.conf                                            | Properties         |         76 |          8 |         16 |        100 |
| /home/developer/projects/oral-health-policy-pulse/.huggingface/start.sh                                              | Shell Script       |         11 |          2 |          3 |         16 |
| /home/developer/projects/oral-health-policy-pulse/.huggingface/supervisord.conf                                      | Properties         |         18 |          0 |          3 |         21 |
| /home/developer/projects/oral-health-policy-pulse/CITATIONS.md                                                       | Markdown           |        493 |          0 |         92 |        585 |
| /home/developer/projects/oral-health-policy-pulse/CONTRIBUTING.md                                                    | Markdown           |         58 |          0 |         23 |         81 |
| /home/developer/projects/oral-health-policy-pulse/Dockerfile                                                         | Docker             |         40 |         15 |         15 |         70 |
| /home/developer/projects/oral-health-policy-pulse/Makefile                                                           | Makefile           |        145 |          0 |         25 |        170 |
| /home/developer/projects/oral-health-policy-pulse/README.md                                                          | Markdown           |        304 |          0 |        120 |        424 |
| /home/developer/projects/oral-health-policy-pulse/README_HF.md                                                       | Markdown           |         92 |          0 |         30 |        122 |
| /home/developer/projects/oral-health-policy-pulse/__init__.py                                                        | Python             |         17 |          1 |          4 |         22 |
| /home/developer/projects/oral-health-policy-pulse/agents/__init__.py                                                 | Python             |         14 |          1 |          2 |         17 |
| /home/developer/projects/oral-health-policy-pulse/agents/advocacy.py                                                 | Python             |        298 |         58 |         53 |        409 |
| /home/developer/projects/oral-health-policy-pulse/agents/base.py                                                     | Python             |        100 |         47 |         25 |        172 |
| /home/developer/projects/oral-health-policy-pulse/agents/classifier.py                                               | Python             |        189 |         67 |         40 |        296 |
