Date : 2026-04-26 14:46:19
Directory : /home/developer/projects/oral-health-policy-pulse
Total : 322 files,  394405 codes, 7100 comments, 15381 blanks, all 416886 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         30 |    335,341 |          0 |          8 |    335,349 |
| Markdown           |        120 |     30,588 |          0 |     10,308 |     40,896 |
| Python             |         78 |     16,299 |      6,461 |      3,992 |     26,752 |
| TypeScript JSX     |         22 |      4,595 |        138 |        364 |      5,097 |
| JavaScript JSX     |         18 |      4,378 |        186 |        205 |      4,769 |
| Shell Script       |         13 |        924 |        145 |        211 |      1,280 |
| HTML               |          5 |        538 |          0 |         69 |        607 |
| XML                |          8 |        434 |         20 |         23 |        477 |
| TypeScript         |          4 |        291 |         30 |         21 |        342 |
| MS SQL             |          1 |        210 |         43 |         33 |        286 |
| PostCSS            |          5 |        190 |         20 |         38 |        248 |
| Makefile           |          1 |        145 |          0 |         25 |        170 |
| YAML               |          4 |        123 |          4 |         17 |        144 |
| Properties         |          2 |         77 |          5 |         16 |         98 |
| JavaScript         |          4 |         70 |          1 |          5 |         76 |
| pip requirements   |          1 |         66 |         13 |         13 |         92 |
| Ignore             |          1 |         62 |         13 |         13 |         88 |
| Docker             |          1 |         40 |         15 |         15 |         70 |
| JSON with Comments |          2 |         34 |          6 |          5 |         45 |
| (Read Error)       |          2 |          0 |          0 |          0 |          0 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        322 |    394,405 |      7,100 |     15,381 |    416,886 |
| . (Files)                                                                                                            |         24 |      2,101 |        209 |        551 |      2,861 |
| .github                                                                                                              |          1 |         96 |          0 |         33 |        129 |
| .huggingface                                                                                                         |          4 |        180 |          7 |         49 |        236 |
| agents                                                                                                               |         12 |      3,411 |      1,025 |        728 |      5,164 |
| alerts                                                                                                               |          1 |        344 |        146 |         78 |        568 |
| api                                                                                                                  |         14 |      2,348 |        460 |        560 |      3,368 |
| api (Files)                                                                                                          |          6 |      1,375 |        364 |        336 |      2,075 |
| api/routes                                                                                                           |          3 |        699 |         91 |        185 |        975 |
| api/static                                                                                                           |          5 |        274 |          5 |         39 |        318 |
| api/static/assets                                                                                                    |          2 |          0 |          0 |          0 |          0 |
| config                                                                                                               |          2 |         75 |         22 |         23 |        120 |
| databricks                                                                                                           |          5 |        870 |        559 |        190 |      1,619 |
| databricks (Files)                                                                                                   |          4 |        818 |        297 |        174 |      1,289 |
| databricks/notebooks                                                                                                 |          1 |         52 |        262 |         16 |        330 |
| discovery                                                                                                            |         20 |      4,908 |      2,014 |      1,317 |      8,239 |
| docs                                                                                                                 |         43 |     11,664 |          0 |      3,916 |     15,580 |
| examples                                                                                                             |          8 |      1,645 |        385 |        423 |      2,453 |
| extraction                                                                                                           |          6 |      1,543 |        791 |        329 |      2,663 |
| frontend                                                                                                             |         58 |     31,901 |        336 |        730 |     32,967 |
| frontend (Files)                                                                                                     |         10 |      5,430 |          5 |         54 |      5,489 |
| frontend/policy-dashboards                                                                                           |         25 |     22,111 |        191 |        299 |     22,601 |
| frontend/policy-dashboards (Files)                                                                                   |          3 |     17,667 |          0 |         80 |     17,747 |
| frontend/policy-dashboards/public                                                                                    |          2 |         30 |          5 |          6 |         41 |
| frontend/policy-dashboards/src                                                                                       |         20 |      4,414 |        186 |        213 |      4,813 |
| frontend/policy-dashboards/src (Files)                                                                               |          3 |      1,313 |         30 |         57 |      1,400 |
| frontend/policy-dashboards/src/components                                                                            |         17 |      3,101 |        156 |        156 |      3,413 |
| frontend/policy-dashboards/src/components (Files)                                                                    |         10 |      2,353 |        112 |        112 |      2,577 |
| frontend/policy-dashboards/src/components/shared                                                                     |          7 |        748 |         44 |         44 |        836 |
| frontend/public                                                                                                      |          2 |        257 |          5 |         38 |        300 |
| frontend/src                                                                                                         |         21 |      4,103 |        135 |        339 |      4,577 |
| frontend/src (Files)                                                                                                 |          4 |        109 |          2 |         16 |        127 |
| frontend/src/components                                                                                              |          5 |      1,215 |         45 |         98 |      1,358 |
| frontend/src/contexts                                                                                                |          2 |        200 |         11 |         33 |        244 |
| frontend/src/pages                                                                                                   |         10 |      2,579 |         77 |        192 |      2,848 |
| models                                                                                                               |          1 |        220 |         71 |         51 |        342 |
| notebooks                                                                                                            |          2 |        177 |        227 |        116 |        520 |
| output                                                                                                               |         22 |    293,064 |          0 |          0 |    293,064 |
| output/tuscaloosa                                                                                                    |         12 |    293,054 |          0 |          0 |    293,054 |
| output/tuscaloosa_city_schools                                                                                       |         10 |         10 |          0 |          0 |         10 |
